Parameter,Rhat
a,1.0000996107938347
a_std,1.0000220849212218
a_subj.1.0,0.9999747886830166
a_subj.2.0,1.0000452526473724
a_subj.3.0,0.9999847604650719
a_subj.4.0,1.0000055331948525
a_subj.5.0,0.9999891605854637
a_subj.6.0,1.000102365279934
a_subj.7.0,0.9999986312771282
a_subj.8.0,1.0000131917456783
a_subj.9.0,0.999966445508948
a_subj.10.0,1.0000010011164155
a_subj.11.0,0.9999706486473996
a_subj.12.0,0.9999820624913827
a_subj.13.0,1.0000430242341773
a_subj.14.0,1.0000026379672993
a_subj.15.0,1.0000334453327622
a_subj.16.0,0.9999759370018256
a_subj.17.0,1.0000168366021847
a_subj.18.0,1.0000027819199475
a_subj.20.0,0.9999939393923546
a_subj.21.0,1.0000048516820266
a_subj.22.0,1.0001978770842503
a_subj.23.0,1.0000132677492373
a_subj.24.0,1.000107437958644
a_subj.25.0,1.0001018709014469
a_subj.26.0,1.0000815253618252
a_subj.27.0,0.9999893555764777
a_subj.28.0,1.000005436260943
a_subj.29.0,1.0000683396560788
a_subj.30.0,1.0000492605790265
a_subj.31.0,0.9999675055618977
a_subj.32.0,1.0000546228415064
a_subj.33.0,1.000058441871956
a_subj.34.0,1.000112337507482
a_subj.35.0,0.9999683514984141
a_subj.36.0,1.000037270247503
a_subj.37.0,1.0000401777066903
a_subj.38.0,0.9999852165765102
a_subj.39.0,1.000088480778236
a_subj.40.0,1.0000146433372419
a_subj.41.0,1.0001244224162364
a_subj.42.0,1.0000370222599142
a_subj.43.0,1.0000045469951684
a_subj.44.0,1.0000138848482116
a_subj.45.0,1.0000605588283782
a_subj.46.0,0.999989564424859
a_subj.47.0,1.0000223481361183
a_subj.48.0,0.9999795042907466
a_subj.49.0,1.000112664463119
t,0.9999938232972665
t_std,1.0000446750245435
t_subj.1.0,1.0000236432631078
t_subj.2.0,1.0000017936799417
t_subj.3.0,0.9999804845233506
t_subj.4.0,1.0001613405173673
t_subj.5.0,1.0000233007037307
t_subj.6.0,0.9999634702389799
t_subj.7.0,1.0000943788538723
t_subj.8.0,1.000000217253128
t_subj.9.0,0.9999831608384336
t_subj.10.0,1.0000163738658416
t_subj.11.0,1.0000268052936059
t_subj.12.0,0.9999944705035452
t_subj.13.0,1.000059500087472
t_subj.14.0,1.0000017280388491
t_subj.15.0,1.0000614045481364
t_subj.16.0,0.999985046065535
t_subj.17.0,1.0000210608570634
t_subj.18.0,0.9999748257882795
t_subj.20.0,1.000024932671231
t_subj.21.0,0.9999947485924178
t_subj.22.0,1.0001356518834248
t_subj.23.0,1.0000203062809125
t_subj.24.0,1.0000205627190206
t_subj.25.0,1.0000636929142057
t_subj.26.0,1.0000877945755966
t_subj.27.0,1.000037671091042
t_subj.28.0,1.0000526387797837
t_subj.29.0,1.000238992214561
t_subj.30.0,0.9999865953049165
t_subj.31.0,0.9999636661046036
t_subj.32.0,1.0000995913268014
t_subj.33.0,1.0000034409725045
t_subj.34.0,1.000292597965958
t_subj.35.0,0.9999758278553779
t_subj.36.0,0.9999863288663801
t_subj.37.0,0.9999985924370958
t_subj.38.0,1.0000083174999868
t_subj.39.0,1.0000145496295676
t_subj.40.0,1.0000493128797494
t_subj.41.0,1.000124205771152
t_subj.42.0,1.0000768255316324
t_subj.43.0,0.9999897066077724
t_subj.44.0,1.0000144467006093
t_subj.45.0,1.0000361431879625
t_subj.46.0,1.0000287252800761
t_subj.47.0,1.000001713240161
t_subj.48.0,1.0001120862820376
t_subj.49.0,1.0000725747927297
p_outlier,0.9999876671038272
v_Intercept,0.9999688068528274
v_Intercept_std,1.0000441606740442
v_Intercept_subj.1.0,0.9999709583658738
v_Intercept_subj.2.0,0.9999760299380407
v_Intercept_subj.3.0,1.0000369788908712
v_Intercept_subj.4.0,1.0000647228119568
v_Intercept_subj.5.0,1.000036535737706
v_Intercept_subj.6.0,1.000006481324818
v_Intercept_subj.7.0,0.9999904828821438
v_Intercept_subj.8.0,0.9999849289111225
v_Intercept_subj.9.0,1.000006000218905
v_Intercept_subj.10.0,1.0000332502265032
v_Intercept_subj.11.0,1.0000044255429765
v_Intercept_subj.12.0,0.9999819536072531
v_Intercept_subj.13.0,0.999995438212262
v_Intercept_subj.14.0,0.9999635078787714
v_Intercept_subj.15.0,1.0000183879484228
v_Intercept_subj.16.0,1.0001197104688604
v_Intercept_subj.17.0,0.9999706316415458
