Parameter,Rhat
a,1.0000132892706395
a_std,0.9999766083911993
a_subj.1.0,1.0000616230692372
a_subj.2.0,0.9999996984018346
a_subj.3.0,0.9999666050824051
a_subj.4.0,1.0000010768391152
a_subj.5.0,1.00002420013314
a_subj.6.0,1.0000217737625006
a_subj.7.0,0.9999697691433067
a_subj.8.0,1.0000420899936862
a_subj.9.0,0.9999896130477569
a_subj.10.0,1.000019081295253
a_subj.11.0,0.9999880597100185
a_subj.12.0,0.9999797071261475
a_subj.13.0,0.9999785822273956
a_subj.14.0,0.9999664237726823
a_subj.15.0,1.0000168798566842
a_subj.16.0,0.9999991575486267
a_subj.17.0,1.0001657795899892
a_subj.18.0,1.000061063049107
a_subj.20.0,1.0001609136897949
a_subj.21.0,1.0001383178175034
a_subj.22.0,1.000152768137132
a_subj.23.0,1.0000194612374678
a_subj.24.0,0.9999907956655677
a_subj.25.0,0.9999813303101086
a_subj.26.0,0.9999872279122248
a_subj.27.0,0.9999847723315225
a_subj.28.0,0.9999798491602588
a_subj.29.0,0.9999878036148504
a_subj.30.0,1.000013748816713
a_subj.31.0,1.000049127995696
a_subj.32.0,1.0000495204981545
a_subj.33.0,1.000015733571376
a_subj.34.0,1.001040130251717
a_subj.35.0,1.0000979125019978
a_subj.36.0,1.0000275510557273
a_subj.37.0,1.000082633102079
a_subj.38.0,0.999965857092959
a_subj.39.0,1.0000171927128974
a_subj.40.0,1.0000873344753283
a_subj.41.0,1.0000653694422208
a_subj.42.0,1.000072521212869
a_subj.43.0,0.9999725979214328
a_subj.44.0,1.0000422649370238
a_subj.45.0,1.0000484302791952
a_subj.46.0,1.0000209825416209
a_subj.47.0,1.0000019739895176
a_subj.48.0,1.0000209845047705
a_subj.49.0,1.0002086609909
t,1.000183485256999
t_std,1.0000246991948658
t_subj.1.0,0.9999928321016046
t_subj.2.0,1.000019671056608
t_subj.3.0,0.9999749568180588
t_subj.4.0,1.00003158403714
t_subj.5.0,1.0000152436880754
t_subj.6.0,1.000066635453303
t_subj.7.0,0.9999750262384721
t_subj.8.0,1.0000914747831144
t_subj.9.0,0.9999980193181494
t_subj.10.0,1.0000284220736952
t_subj.11.0,0.9999882262366097
t_subj.12.0,1.0000030164903413
