,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
t_subj.2.0,0.398417768,0.014288536,0.367877014,0.389317499,0.399268103,0.408374641,0.424056223,7.42E-05,,
t_subj.3.0,0.487364662,0.016682989,0.451582114,0.476781597,0.48858147,0.499183572,0.516702011,8.53E-05,,
t_subj.4.0,0.448049829,0.004767832,0.437668832,0.445130932,0.448452188,0.451421655,0.456106372,2.44E-05,,
t_subj.5.0,0.481738947,0.015198052,0.453160426,0.46904114,0.483933646,0.494311865,0.505792993,8.75E-05,,
t_subj.6.0,0.401945251,0.008961395,0.382616163,0.396366052,0.40255016,0.408076343,0.417819255,4.03E-05,,
t_subj.7.0,0.500574544,0.01250161,0.474264721,0.492964809,0.501327018,0.508629032,0.523033443,6.46E-05,,
t_subj.8.0,0.596318173,0.010983889,0.572437077,0.589957802,0.597272286,0.603860331,0.614661602,5.58E-05,,
t_subj.9.0,0.463084139,0.01404107,0.4333013,0.45410739,0.463996025,0.472961316,0.487969802,6.10E-05,,
t_subj.10.0,0.463328541,0.032073317,0.405864439,0.434880452,0.469794503,0.489744283,0.514841436,0.000181288,,
t_subj.11.0,0.599445037,0.015259343,0.566552177,0.58995762,0.600571878,0.610215872,0.625986833,6.52E-05,,
t_subj.12.0,0.605625876,0.014831915,0.573542069,0.596353336,0.606701684,0.616075619,0.631641545,6.19E-05,,
t_subj.13.0,0.410605154,0.009525265,0.392214297,0.403351214,0.410889299,0.418417287,0.426666355,4.94E-05,,
t_subj.14.0,0.553803315,0.014204961,0.523524782,0.544784733,0.554629117,0.56379557,0.579244894,7.66E-05,,
t_subj.15.0,0.447435802,0.005961663,0.434728975,0.443817248,0.44790131,0.451463963,0.45760195,3.11E-05,,
t_subj.16.0,0.59907787,0.020153204,0.56286566,0.585983563,0.597194797,0.609464196,0.644083354,0.000107811,,
t_subj.17.0,0.582235392,0.007994593,0.565098708,0.577215792,0.582792379,0.587897075,0.596240195,4.01E-05,,
t_subj.18.0,0.379681485,0.012832804,0.357645057,0.372391497,0.379098267,0.385509418,0.416399156,7.95E-05,,
t_subj.20.0,0.50670593,0.017110236,0.475815616,0.493545936,0.508405188,0.518175509,0.542745229,8.29E-05,,
t_subj.21.0,0.495780255,0.015367013,0.463903812,0.486006362,0.496311543,0.506006174,0.525133463,7.64E-05,,
t_subj.22.0,0.464794873,0.035207528,0.392914078,0.438791955,0.478675251,0.491623777,0.507704793,0.000312264,,
t_subj.23.0,0.662670254,0.015556391,0.628767435,0.652998774,0.663929848,0.673650041,0.689629671,7.58E-05,,
t_subj.24.0,0.54667834,0.014693694,0.514914898,0.53743525,0.547807779,0.557155971,0.572199779,8.42E-05,,
t_subj.25.0,0.496108899,0.01400152,0.469721703,0.487220392,0.495360689,0.503715192,0.528120084,6.32E-05,,
t_subj.26.0,0.586209624,0.011630209,0.561019781,0.578945348,0.587071094,0.594470806,0.606480156,5.57E-05,,
t_subj.27.0,0.506305036,0.018936087,0.465240394,0.494404322,0.507549154,0.51962705,0.539919764,9.67E-05,,
t_subj.28.0,0.504133909,0.0117557,0.478796439,0.496740255,0.504985631,0.512454365,0.524685657,6.21E-05,,
t_subj.29.0,0.484462355,0.021280886,0.447923019,0.46754602,0.481397616,0.503042279,0.521855751,0.000132982,,
t_subj.30.0,0.486352688,0.007797488,0.469207982,0.481568761,0.487038444,0.491851002,0.499676525,3.73E-05,,
t_subj.31.0,0.521297329,0.015061525,0.489217631,0.511896304,0.522225957,0.531510591,0.548523769,7.21E-05,,
t_subj.32.0,0.485650433,0.011296192,0.46137246,0.478644267,0.486468316,0.493519199,0.505168447,5.50E-05,,
t_subj.33.0,0.550672787,0.012504423,0.523709609,0.542800953,0.551524836,0.559493056,0.572706637,6.99E-05,,
t_subj.34.0,0.555694472,0.044741173,0.456540814,0.547550886,0.566963096,0.585428964,0.61313048,0.00089157,,
t_subj.35.0,0.495140935,0.010948323,0.471326569,0.488278021,0.496030792,0.502847063,0.514036638,4.85E-05,,
