,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
v_condition_subj.21.0,0.085582548,0.065990229,-0.041314425,0.040657358,0.084760906,0.129747948,0.217362103,0.000268692,,
v_condition_subj.22.0,-0.036646581,0.064590742,-0.163748412,-0.0802424,-0.036425748,0.00704767,0.090129743,0.000285711,,
v_condition_subj.23.0,-0.045838503,0.065328633,-0.173298267,-0.089635856,-0.045854405,-0.001916625,0.081432913,0.0002403,,
v_condition_subj.24.0,0.031825409,0.068983185,-0.100683407,-0.014908669,0.031356117,0.078349197,0.168492097,0.000326426,,
v_condition_subj.25.0,-0.055213463,0.070885782,-0.194591377,-0.102748729,-0.055367944,-0.007702446,0.084755052,0.000272321,,
v_condition_subj.26.0,-0.010872602,0.072746792,-0.152518758,-0.059893012,-0.011090451,0.038004614,0.132171264,0.000294904,,
v_condition_subj.27.0,0.051836863,0.060215123,-0.064678996,0.011040024,0.051584833,0.091992798,0.171328282,0.000292399,,
v_condition_subj.28.0,-0.05092289,0.072412265,-0.191646399,-0.100053163,-0.051013821,-0.002365549,0.093077107,0.000270749,,
v_condition_subj.29.0,-0.383452343,0.081927803,-0.547947382,-0.437999014,-0.382176776,-0.327474239,-0.226375912,0.000510392,,
v_condition_subj.30.0,-0.017480593,0.080647562,-0.173436227,-0.072198843,-0.017917422,0.036576278,0.140860068,0.000309632,,
v_condition_subj.31.0,-0.122646281,0.065369069,-0.25324855,-0.166063084,-0.122076077,-0.078479609,0.003541495,0.000274263,,
v_condition_subj.32.0,0.07960459,0.070553787,-0.054767382,0.031591034,0.078707114,0.126605298,0.220864442,0.000327982,,
v_condition_subj.33.0,-0.01808411,0.069387421,-0.153383442,-0.065035709,-0.018368204,0.028643588,0.119249392,0.000244782,,
v_condition_subj.34.0,0.015267453,0.06913207,-0.11948264,-0.031569136,0.014909662,0.061700641,0.153061897,0.000289482,,
v_condition_subj.35.0,-0.082375018,0.072399259,-0.225049527,-0.130348716,-0.082299883,-0.033808965,0.059936048,0.000369668,,
v_condition_subj.36.0,-0.094223907,0.069765216,-0.232198222,-0.140723141,-0.094020034,-0.047326902,0.041956468,0.000322228,,
v_condition_subj.37.0,-0.043951093,0.06114115,-0.164364224,-0.085352265,-0.044079148,-0.002748237,0.076819053,0.000277113,,
v_condition_subj.38.0,-0.304379121,0.082250692,-0.469553978,-0.359200971,-0.302869275,-0.248104107,-0.147341707,0.000459871,,
v_condition_subj.39.0,-0.027916255,0.066998831,-0.158947781,-0.072779875,-0.028599839,0.017258003,0.104262571,0.000287042,,
v_condition_subj.40.0,-0.056267797,0.064663278,-0.183854443,-0.099708428,-0.056217841,-0.012621429,0.069568361,0.000260696,,
v_condition_subj.41.0,-0.039964625,0.069457367,-0.17584991,-0.086765431,-0.040291341,0.006758578,0.096709598,0.000307013,,
v_condition_subj.42.0,-0.117184442,0.067435939,-0.25017488,-0.162483511,-0.116729002,-0.071623258,0.014032394,0.000258991,,
v_condition_subj.43.0,-0.062551325,0.069316815,-0.198505813,-0.109003647,-0.062455717,-0.015501058,0.072018472,0.000322881,,
v_condition_subj.44.0,-0.105855151,0.071450348,-0.247650131,-0.153534658,-0.10549048,-0.057755751,0.033694963,0.000282687,,
v_condition_subj.45.0,-0.270226588,0.071005022,-0.412761211,-0.317413544,-0.269210084,-0.221863898,-0.13325418,0.000338632,,
v_condition_subj.46.0,-0.080183719,0.071587748,-0.221074827,-0.128077998,-0.080192746,-0.031737365,0.059578278,0.000346486,,
v_condition_subj.47.0,0.012589791,0.073071387,-0.129093354,-0.036757534,0.012200084,0.061319238,0.158103005,0.000334671,,
v_condition_subj.48.0,-0.090879057,0.078215936,-0.24516146,-0.143097798,-0.090455749,-0.037980871,0.061734952,0.000316492,,
v_condition_subj.49.0,-0.046523633,0.073143541,-0.189166045,-0.095448462,-0.047110522,0.002821057,0.096242112,0.000292962,,
z_Intercept,0.472643541,0.006682806,0.459427136,0.468138447,0.472688361,0.477096755,0.485855378,6.36E-05,,
z_Intercept_std,0.15183719,0.018700098,0.117135313,0.138950811,0.151140009,0.164002776,0.190632582,0.000124589,,
z_Intercept_subj.1.0,0.440105592,0.022220695,0.396568671,0.425352734,0.439975775,0.455018522,0.483787745,0.000194598,,
z_Intercept_subj.2.0,0.478010245,0.019759614,0.439401129,0.464623035,0.477798657,0.491416288,0.517113571,0.000176192,,
z_Intercept_subj.3.0,0.428705384,0.021678346,0.386482113,0.414023122,0.428465028,0.443287961,0.471572768,0.000257705,,
z_Intercept_subj.4.0,0.443922346,0.020924999,0.40334721,0.429736217,0.443805342,0.458177378,0.48535064,0.000189964,,
z_Intercept_subj.5.0,0.538584203,0.021265354,0.496674185,0.524417078,0.538341922,0.55279594,0.580411136,0.000205657,,
z_Intercept_subj.6.0,0.508776397,0.024457273,0.461445125,0.492257296,0.508590459,0.525187693,0.558167969,0.000228525,,
z_Intercept_subj.7.0,0.414292301,0.021515497,0.372105157,0.399838013,0.414102536,0.428991779,0.456550989,0.000187558,,
z_Intercept_subj.8.0,0.472116536,0.020475748,0.431641948,0.45852575,0.472316443,0.485807016,0.512547302,0.000220657,,
z_Intercept_subj.9.0,0.487940342,0.020095986,0.448282127,0.47424637,0.488036914,0.501490239,0.527012682,0.000169383,,
z_Intercept_subj.10.0,0.413004784,0.021120872,0.371833994,0.398791093,0.412928542,0.427335187,0.454142651,0.000218506,,
z_Intercept_subj.11.0,0.498775758,0.020912334,0.457796808,0.48486622,0.498713607,0.512750034,0.539617444,0.000199389,,
z_Intercept_subj.12.0,0.468199635,0.020853699,0.42781419,0.454193968,0.468316599,0.482251448,0.508985649,0.000222274,,
z_Intercept_subj.13.0,0.50854653,0.023792996,0.463344549,0.492119428,0.508077535,0.524669827,0.555580949,0.000294182,,
z_Intercept_subj.14.0,0.507911263,0.019864225,0.469209909,0.494441967,0.507593163,0.521588466,0.547523467,0.000196275,,
z_Intercept_subj.15.0,0.419480755,0.022183904,0.376160426,0.404300337,0.41932905,0.434702109,0.462159579,0.000224081,,
z_Intercept_subj.16.0,0.469454532,0.020966961,0.428180905,0.455289075,0.469534326,0.483591536,0.510107018,0.000204398,,
z_Intercept_subj.17.0,0.471174197,0.020312541,0.431524752,0.457338694,0.471106062,0.484758334,0.511543868,0.000180788,,
z_Intercept_subj.18.0,0.446312974,0.020155105,0.407364599,0.432715019,0.446211438,0.459689703,0.486213932,0.000190625,,
z_Intercept_subj.20.0,0.513842687,0.021689443,0.471961787,0.49928594,0.513713062,0.528633752,0.556350917,0.000207957,,
z_Intercept_subj.21.0,0.494953876,0.020809933,0.453937779,0.480999589,0.495092104,0.5088692,0.535533076,0.000182881,,
z_Intercept_subj.22.0,0.415498502,0.021985244,0.372628246,0.400681064,0.415247211,0.430341111,0.459335232,0.000215825,,
z_Intercept_subj.23.0,0.537578504,0.022786181,0.493437807,0.522420638,0.537315871,0.552845894,0.582292737,0.000256669,,
z_Intercept_subj.24.0,0.451681307,0.021653503,0.409945512,0.436804709,0.451738462,0.466192827,0.494811767,0.000195105,,
z_Intercept_subj.25.0,0.447737207,0.021118317,0.407072939,0.433392857,0.447704066,0.461963255,0.489122336,0.000222164,,
z_Intercept_subj.26.0,0.437420169,0.020684718,0.397561695,0.423575368,0.437145894,0.451203997,0.478866214,0.000201796,,
z_Intercept_subj.27.0,0.497334887,0.020788033,0.457053261,0.483377348,0.497360282,0.511519961,0.537914328,0.000190538,,
z_Intercept_subj.28.0,0.489521983,0.022016067,0.446982681,0.474410649,0.489523262,0.504510643,0.533287583,0.000198866,,
z_Intercept_subj.29.0,0.47317639,0.021174252,0.432184058,0.45887738,0.473025842,0.487300176,0.51475699,0.000190366,,
z_Intercept_subj.30.0,0.430023098,0.02192538,0.387617622,0.414816573,0.429666964,0.445016989,0.473256875,0.000211492,,
z_Intercept_subj.31.0,0.475938769,0.021547386,0.433678755,0.461387628,0.475934361,0.490473795,0.518328484,0.000203424,,
z_Intercept_subj.32.0,0.445728441,0.020226348,0.406430137,0.431911155,0.445750117,0.459336192,0.485772552,0.00020904,,
z_Intercept_subj.33.0,0.528995182,0.020965417,0.488068017,0.514890414,0.528829028,0.543319552,0.569874689,0.000188005,,
z_Intercept_subj.34.0,0.499287504,0.022529647,0.455272715,0.483981085,0.499120958,0.5144985,0.54358637,0.000317838,,
z_Intercept_subj.35.0,0.467743498,0.020498844,0.427327511,0.454039838,0.467590916,0.481657082,0.507933949,0.000179824,,
z_Intercept_subj.36.0,0.473069752,0.020675133,0.433082021,0.459046529,0.473011313,0.486784376,0.513512216,0.000191692,,
z_Intercept_subj.37.0,0.456467704,0.021670838,0.413919837,0.44185025,0.456373395,0.471020302,0.499154205,0.000217646,,
z_Intercept_subj.38.0,0.460653325,0.020670673,0.419919093,0.446604883,0.460878474,0.474760785,0.500834261,0.000180314,,
z_Intercept_subj.39.0,0.483540535,0.020869865,0.443476983,0.469265154,0.483279073,0.497787055,0.524523926,0.000184433,,
z_Intercept_subj.40.0,0.481512144,0.020189059,0.442110851,0.46783664,0.481723018,0.494900982,0.520855816,0.000190743,,
z_Intercept_subj.41.0,0.523094536,0.021360996,0.481584668,0.508564147,0.523131548,0.537247994,0.564939952,0.00021055,,
z_Intercept_subj.42.0,0.484542363,0.020705214,0.44489901,0.470746412,0.484541162,0.498374116,0.525393416,0.000199632,,
z_Intercept_subj.43.0,0.491639552,0.020061985,0.452146171,0.478074291,0.491559717,0.505399627,0.530820263,0.000180298,,
z_Intercept_subj.44.0,0.484180666,0.020204766,0.443635665,0.470730888,0.484127705,0.49794483,0.523918477,0.000185201,,
z_Intercept_subj.45.0,0.458664409,0.020627437,0.41873071,0.4446726,0.458603374,0.472667297,0.499242401,0.000181753,,
z_Intercept_subj.46.0,0.413503732,0.022749073,0.368926436,0.398139385,0.413447241,0.428720035,0.458766727,0.000272958,,
z_Intercept_subj.47.0,0.544398416,0.022240782,0.501680148,0.529244427,0.54417599,0.558927379,0.588994407,0.000238587,,
z_Intercept_subj.48.0,0.473203046,0.022156945,0.429868945,0.458130407,0.47316488,0.488101236,0.516547578,0.000261489,,
z_Intercept_subj.49.0,0.441486244,0.019881048,0.402929206,0.428110904,0.441452818,0.454895201,0.480684433,0.000211735,,
